transaction_id,date,time,customer_name,customer_type,cut_type,chickens_count,live_weight_kg,carcass_weight_kg,weight_loss_kg,yield_ratio,price_per_kg,cogs_rp,revenue_rp,gross_profit_rp,payment_method,payment_status
TRX-20260601-0001,2026-06-01,04:07,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,11,22.25,15.91,6.34,0.715,36500,489500,580715,91215,Tempo_3H,Belum Lunas
TRX-20260601-0002,2026-06-01,03:02,Eceran Umum,Umum,Karkas Utuh,2,4.12,3.12,1.0,0.757,35000,90640,109200,18560,Tunai,Lunas
TRX-20260601-0003,2026-06-01,10:32,Eceran Umum,Umum,Potong 4,2,3.41,2.42,0.99,0.711,35000,75020,84700,9680,Tunai,Lunas
TRX-20260601-0004,2026-06-01,04:27,Warung Padang Roda Jaya,Langganan,Campur,19,38.53,28.86,9.67,0.749,35000,847660,1010100,162440,Tempo_7H,Lunas
TRX-20260601-0005,2026-06-01,05:02,Warung Padang Roda Jaya,Langganan,Fillet Dada,11,20.74,14.79,5.95,0.713,48000,456279,709920,253641,Tempo_7H,Belum Lunas
TRX-20260601-0006,2026-06-01,07:08,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,6,12.85,9.41,3.44,0.732,35000,282700,329350,46650,Tempo_7H,Lunas
TRX-20260601-0007,2026-06-01,03:13,Warung Padang Roda Jaya,Langganan,Potong 8,22,46.89,34.04,12.85,0.726,36500,1031580,1242460,210880,Tempo_7H,Belum Lunas
TRX-20260601-0008,2026-06-01,04:17,Warung Padang Roda Jaya,Langganan,Fillet Dada,6,11.99,9.06,2.93,0.756,48000,263780,434880,171100,Tempo_7H,Belum Lunas
TRX-20260601-0009,2026-06-01,05:59,Eceran Umum,Umum,Karkas Utuh,2,4.24,3.17,1.07,0.747,35000,93280,110950,17670,Tunai,Lunas
TRX-20260601-0010,2026-06-01,05:24,Warung Padang Roda Jaya,Langganan,Potong 4,32,62.02,44.96,17.06,0.725,35000,1364440,1573600,209160,Tempo_7H,Lunas
TRX-20260601-0011,2026-06-01,05:00,Eceran Umum,Umum,Karkas Utuh,2,3.41,2.46,0.95,0.72,35000,75020,86100,11080,Tunai,Lunas
TRX-20260601-0012,2026-06-01,07:58,Bakso Solo Mas Mul,Langganan,Karkas Utuh,11,23.38,17.68,5.7,0.756,35000,514360,618800,104440,Tempo_7H,Belum Lunas
